time,B,Bz,T,N,V,electron_flux,Kp,Dst,Kp24
2026-08-21 05:00:00+00:00,4.630769230769231,1.7184615384615385,129727.12,3.3144,484.96,699.4874725341797,1.89,-9.0,62.64
2026-08-21 06:00:00+00:00,4.384285714285714,2.4642857142857144,134331.14285714287,3.571428571428572,489.2857142857143,690.3438924153646,1.67,-11.0,62.31
2026-08-21 07:00:00+00:00,4.1825,1.15125,122542.3,2.9825,497.05,699.0281626383463,1.67,-5.0,61.98
2026-08-21 08:00:00+00:00,4.387,3.1745,115779.8947368421,3.0442105263157897,499.7631578947368,653.9077402750651,1.67,-4.0,61.65
2026-08-21 09:00:00+00:00,4.313461538461539,1.9046153846153848,104399.76190476192,3.122380952380952,518.2571428571429,767.9508412679037,1.67,1.0,61.32
2026-08-21 10:00:00+00:00,4.333333333333333,1.3666666666666667,119047.39130434782,3.0808695652173914,508.0217391304348,923.9716389973959,1.78,1.0,60.656666666666666
2026-08-21 11:00:00+00:00,4.556774193548387,-0.9416129032258064,142096.125,2.4716666666666667,489.0833333333333,1019.2188517252604,1.89,1.0,59.660000000000004
2026-08-21 12:00:00+00:00,5.301428571428572,0.93,125734.33333333331,3.37,488.1333333333334,1113.2615458170574,2.0,-2.0,58.33
2026-08-21 13:00:00+00:00,4.696086956521739,2.654782608695652,106765.0,2.72,475.88666666666666,1327.061767578125,1.5566666666666666,-1.0,57.0
2026-08-21 14:00:00+00:00,4.560333333333333,1.7266666666666666,123941.45,2.6845,471.575,1354.7166849772136,1.1133333333333333,0.0,55.669999999999995
2026-08-21 15:00:00+00:00,4.3664516129032265,2.3506451612903225,128826.22727272728,2.5745454545454547,472.85,1343.2741800944011,0.67,2.0,54.339999999999996
2026-08-21 16:00:00+00:00,4.408846153846154,0.9288461538461538,132486.95833333334,2.2491666666666665,471.4708333333333,1348.4045003255208,1.0033333333333334,3.0,52.9
2026-08-21 17:00:00+00:00,4.615,-0.4540625,107836.89655172414,2.986206896551725,478.2310344827587,1306.8327941894531,1.3366666666666667,2.0,51.35
2026-08-21 18:00:00+00:00,4.983157894736841,-0.3863157894736842,96305.42105263156,2.306842105263158,456.78421052631575,1196.712905883789,1.67,1.0,49.690000000000005
2026-08-21 19:00:00+00:00,4.414193548387097,-0.0054838709677419,90518.21875,2.775,473.39375,1076.5852813720703,1.67,0.0,48.25
2026-08-21 20:00:00+00:00,3.3542857142857145,0.0010714285714285,124389.76,2.5852,482.828,1029.5150095621746,1.67,-5.0,47.03
2026-08-21 21:00:00+00:00,4.473548387096774,-1.620322580645161,112017.85185185184,2.2422222222222223,463.8740740740741,824.0053660074869,1.67,-10.0,46.03
2026-08-21 22:00:00+00:00,4.475172413793104,-1.2582758620689656,88879.91666666667,2.8520833333333333,476.98333333333335,772.6692403157552,1.5566666666666666,-13.0,44.696666666666665
2026-08-21 23:00:00+00:00,4.3040625,1.4778125,79611.07407407407,3.259259259259259,483.14814814814815,672.4054768880209,1.4433333333333334,-16.0,43.03
2026-08-22 00:00:00+00:00,4.518,0.461,72440.21153846153,3.1444230769230765,479.2019230769231,809.4055887858073,1.33,-17.0,41.03
2026-08-22 01:00:00+00:00,4.368333333333333,2.061666666666667,80663.4,3.254,469.78,977.6197967529297,1.11,-13.0,39.14333333333333
2026-08-22 02:00:00+00:00,4.3615,1.7213333333333334,74149.16326530612,3.070204081632653,470.70816326530615,1025.5716501871746,0.8900000000000001,-5.0,37.37
2026-08-22 03:00:00+00:00,4.3168,1.8192,76620.57894736843,3.3276315789473685,472.8157894736842,956.3389892578125,0.67,-2.0,35.71
2026-08-22 04:00:00+00:00,4.615,2.1757142857142857,78101.09090909091,2.8918181818181816,448.0545454545455,1003.5500183105469,0.67,-1.0,34.27
