time,B,Bz,T,N,V
2026-08-22 22:00:00+00:00,5.775517241379311,2.2158620689655173,121533.27586206896,3.302068965517241,436.5344827586207
2026-08-22 23:00:00+00:00,5.8484375,1.8228125,122656.09375,3.2303125,438.928125
2026-08-23 00:00:00+00:00,5.773166666666667,1.1316666666666668,122174.53333333334,3.3901666666666666,425.485
2026-08-23 01:00:00+00:00,5.933333333333334,-0.67,121623.625,3.20625,420.2125
2026-08-23 02:00:00+00:00,6.2285,-1.1458333333333333,122181.62962962964,2.9196296296296294,420.8629629629629
2026-08-23 03:00:00+00:00,6.267547169811321,-0.6645283018867925,113981.91489361702,2.5963829787234043,417.0617021276596
2026-08-23 04:00:00+00:00,6.12,-2.283333333333333,108746.8,3.018,424.48
2026-08-23 05:00:00+00:00,6.098571428571428,-1.207857142857143,120434.5,3.1366666666666667,407.95
2026-08-23 06:00:00+00:00,5.743333333333334,-0.0513333333333333,132929.6862745098,3.640392156862745,412.8941176470588
2026-08-23 07:00:00+00:00,3.790638297872341,1.474468085106383,135665.64864864864,4.304594594594595,425.06216216216217
2026-08-23 08:00:00+00:00,3.005,2.95,155554.5,4.550000000000001,432.65
2026-08-23 09:00:00+00:00,3.4879999999999995,2.126,172874.0,5.09,444.56666666666666
2026-08-23 10:00:00+00:00,4.780769230769231,-1.3507692307692307,158042.42857142858,3.7342857142857135,428.2285714285714
2026-08-23 11:00:00+00:00,4.497391304347826,-1.831304347826087,163281.52173913043,3.994347826086957,421.61304347826086
2026-08-23 12:00:00+00:00,4.26,-0.7026666666666668,157442.33333333334,3.980333333333333,423.20166666666665
2026-08-23 13:00:00+00:00,4.946666666666666,-0.3899999999999999,112969.0,3.874,422.64
2026-08-23 14:00:00+00:00,4.06375,0.78375,128566.57142857143,4.131428571428572,420.25714285714287
2026-08-23 15:00:00+00:00,4.203333333333333,-1.45,154603.33333333334,3.329166666666667,407.8833333333334
2026-08-23 16:00:00+00:00,4.844166666666667,-2.3525,142668.27272727274,3.3,403.44545454545454
2026-08-23 17:00:00+00:00,4.712727272727272,-1.4563636363636363,125124.61904761904,3.2804761904761905,402.652380952381
2026-08-23 18:00:00+00:00,5.3,1.13,132403.125,2.785,393.375
2026-08-23 19:00:00+00:00,5.080416666666667,0.3479166666666666,118550.13636363635,2.711818181818181,392.4045454545454
2026-08-23 20:00:00+00:00,5.1905,-1.3625,101070.41176470587,2.4352941176470586,391.3117647058824
2026-08-23 21:00:00+00:00,5.239583333333333,-0.8670833333333333,107269.55,2.383,384.785
2026-08-23 22:00:00+00:00,5.351304347826087,-0.7752173913043477,111936.4705882353,2.335294117647059,384.8764705882353
2026-08-23 23:00:00+00:00,5.2867741935483865,-2.408709677419355,104265.10714285714,2.3489285714285715,391.1428571428572
2026-08-24 00:00:00+00:00,5.480333333333333,-1.485,110333.50980392157,2.1111764705882354,382.30196078431374
2026-08-24 01:00:00+00:00,5.433333333333334,-1.0373333333333334,92634.26666666666,2.118666666666667,377.1666666666667
2026-08-24 02:00:00+00:00,5.496333333333333,-1.5801666666666667,85650.9,2.1806666666666668,378.97
2026-08-24 03:00:00+00:00,5.766,-0.936,75310.16666666667,1.9583333333333333,372.0833333333333
2026-08-24 04:00:00+00:00,5.292307692307692,1.5623076923076922,58630.53846153846,2.644615384615385,380.2846153846154
2026-08-24 05:00:00+00:00,5.331363636363637,1.8513636363636363,47415.38095238096,2.463809523809524,376.87619047619046
2026-08-24 06:00:00+00:00,5.069166666666666,2.6315000000000004,51212.91666666666,2.5891666666666664,379.88666666666666
2026-08-24 07:00:00+00:00,5.3133333333333335,0.7911111111111111,68796.77777777778,2.12,367.8111111111111
2026-08-24 08:00:00+00:00,5.211428571428572,1.17,66416.66666666667,2.1344444444444446,366.6888888888889
2026-08-24 09:00:00+00:00,5.499375,0.329375,94897.14285714286,1.5364285714285717,362.6928571428571
2026-08-24 10:00:00+00:00,5.198888888888889,1.4961111111111112,58160.63157894737,2.337894736842105,365.7684210526316
2026-08-24 11:00:00+00:00,4.62125,3.427083333333333,54921.57692307692,2.285384615384616,346.41923076923075
2026-08-24 12:00:00+00:00,4.776833333333333,2.3236666666666665,57034.61818181818,2.3452727272727274,353.3636363636364
2026-08-24 13:00:00+00:00,4.9575,2.18,50734.5,2.805,347.6
2026-08-24 14:00:00+00:00,4.88,1.584,51751.2,2.644,346.34000000000003
2026-08-24 15:00:00+00:00,5.225714285714285,1.9814285714285715,50499.0,2.3655555555555554,332.82222222222225
2026-08-24 16:00:00+00:00,4.863636363636363,1.7245454545454544,53438.91666666666,2.43,338.125
2026-08-24 17:00:00+00:00,5.938571428571429,0.9823809523809524,37603.55,1.848,345.7
2026-08-24 18:00:00+00:00,6.013,2.958,64929.1,2.286,357.14
2026-08-24 19:00:00+00:00,6.196363636363636,0.8895454545454545,55382.954545454544,2.747727272727273,361.1227272727273
2026-08-24 20:00:00+00:00,6.336363636363637,1.7877272727272726,59184.545454545456,1.7727272727272727,357.8636363636364
2026-08-24 21:00:00+00:00,7.024583333333333,-2.245,74451.08695652174,3.7530434782608695,365.3695652173913
2026-08-24 22:00:00+00:00,7.074583333333333,5.184583333333333,92850.45454545454,3.078181818181818,356.73636363636365
2026-08-24 23:00:00+00:00,5.811000000000001,3.228666666666667,82026.36363636363,2.7690909090909095,353.58181818181816
2026-08-25 00:00:00+00:00,6.3709999999999996,2.3485,63765.25454545455,2.5532727272727276,344.04545454545456
2026-08-25 01:00:00+00:00,5.8915,1.7458333333333333,60497.188679245286,2.7592452830188683,341.1188679245283
2026-08-25 02:00:00+00:00,6.002372881355932,2.6308474576271186,51870.09523809524,2.296904761904762,335.35238095238094
2026-08-25 03:00:00+00:00,5.848070175438596,3.444736842105263,50201.14634146341,2.0148780487804876,341.4951219512195
2026-08-25 04:00:00+00:00,6.0095,2.5533333333333332,44549.3125,1.7387499999999998,344.2895833333334
2026-08-25 05:00:00+00:00,5.9665,3.246,49532.03448275862,1.6232758620689656,345.3775862068966
2026-08-25 06:00:00+00:00,5.9865,2.4545000000000003,47401.03333333333,1.4533333333333334,343.5133333333333
2026-08-25 07:00:00+00:00,6.164666666666666,1.7276666666666667,51029.08474576271,2.301186440677966,339.91186440677967
2026-08-25 08:00:00+00:00,6.303333333333333,1.865,41680.60344827586,1.3724137931034481,336.7206896551724
2026-08-25 09:00:00+00:00,5.7540000000000004,1.9796666666666667,40825.066666666666,1.6065,337.405
2026-08-25 10:00:00+00:00,5.952833333333333,1.5745,48339.5,1.1898333333333333,331.65166666666664
2026-08-25 11:00:00+00:00,5.688833333333333,1.2115,58620.91525423729,1.7322033898305085,336.8779661016949
2026-08-25 12:00:00+00:00,5.625333333333333,1.3090000000000002,45600.57627118644,1.5027118644067796,331.928813559322
2026-08-25 13:00:00+00:00,5.452333333333333,0.6998333333333334,37719.88333333333,1.1708333333333334,330.49666666666667
2026-08-25 14:00:00+00:00,4.837666666666666,0.24400000000000002,42447.137931034486,1.3505172413793103,332.85689655172416
2026-08-25 15:00:00+00:00,4.117333333333333,0.04966666666666666,35792.23333333333,1.753,334.67
2026-08-25 16:00:00+00:00,4.264333333333334,0.42566666666666664,29066.637931034482,1.7953448275862067,332.7224137931035
2026-08-25 17:00:00+00:00,4.2825,1.1936666666666667,40719.8,1.4831666666666665,332.225
2026-08-25 18:00:00+00:00,4.076666666666666,1.3981666666666668,40802.66071428572,1.3689285714285713,332.3964285714286
2026-08-25 19:00:00+00:00,4.421833333333334,1.2023333333333333,45112.56140350877,1.234561403508772,325.9614035087719
2026-08-25 20:00:00+00:00,4.261666666666667,1.8034999999999999,59814.5,1.2201666666666666,324.22666666666663
2026-08-25 21:00:00+00:00,4.410833333333333,1.8308333333333333,78467.43333333333,1.0815,319.28333333333336
